```jsonl
{"family":"monumento","entity_id":"monumento_1","start_s":5.0,"end_s":9.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Eiffel Tower visible"}
{"family":"packaging","entity_id":"packaging_2","start_s":180.0,"end_s":185.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":185.0,"end_s":190.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":185.0,"end_s":190.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":185.0,"end_s":190.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":190.0,"end_s":195.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":190.0,"end_s":195.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":190.0,"end_s":195.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":195.0,"end_s":200.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":195.0,"end_s":200.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":195.0,"end_s":200.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":200.0,"end_s":205.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":200.0,"end_s":205.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":200.0,"end_s":205.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":205.0,"end_s":210.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":205.0,"end_s":210.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":205.0,"end_s":210.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":210.0,"end_s":215.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":210.0,"end_s":215.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":210.0,"end_s":215.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":215.0,"end_s":220.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":215.0,"end_s":220.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":215.0,"end_s":220.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":220.0,"end_s":225.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":220.0,"end_s":225.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":220.0,"end_s":225.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":225.0,"end_s":230.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":225.0,"end_s":230.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":225.0,"end_s":230.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":230.0,"end_s":235.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":230.0,"end_s":235.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":230.0,"end_s":235.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":235.0,"end_s":240.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":235.0,"end_s":240.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":235.0,"end_s":240.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":240.0,"end_s":245.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":240.0,"end_s":245.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":240.0,"end_s":245.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior"}
{"family":"packaging","entity_id":"packaging_3","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":245.0,"end_s":250.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":250.0,"end_s":255.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":255.0,"end_s":260.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":260.0,"end_s":265.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":265.0,"end_s":270.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":270.0,"end_s":275.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":275.0,"end_s":280.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":280.0,"end_s":285.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":285.0,"end_s":290.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":290.0,"end_s":295.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":295.0,"end_s":300.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":300.0,"end_s":305.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":305.0,"end_s":310.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"packaging","entity_id":"packaging_3","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Agence Grateau gift box with branded items"}
{"family":"logo_marca","entity_id":"logo_marca_3","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'AGENCE GRATEAU' on gift box"}
{"family":"logo_marca","entity_id":"logo_marca_4","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'RIMOWA' on luggage tag"}
{"family":"logo_marca","entity_id":"logo_marca_5","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'PIERRE CADAULT' on phone case"}
{"family":"logo_marca","entity_id":"logo_marca_6","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'MAISON LAVAUX' on perfume bottle"}
{"family":"logo_marca","entity_id":"logo_marca_7","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'ZIMMER HOTELS' on key card"}
{"family":"logo_marca","entity_id":"logo_marca_8","start_s":310.0,"end_s":315.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'VOUS' on card"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":315.0,"end_s":320.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"logo_marca","entity_id":"logo_marca_9","start_s":315.0,"end_s":320.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'Pierre Cadault' on garment bag"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":320.0,"end_s":325.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"logo_marca","entity_id":"logo_marca_9","start_s":320.0,"end_s":325.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'Pierre Cadault' on garment bag"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":325.0,"end_s":330.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"logo_marca","entity_id":"logo_marca_9","start_s":325.0,"end_s":330.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'Pierre Cadault' on garment bag"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_2","start_s":330.0,"end_s":335.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Sylvie's office interior with team"}
{"family":"logo_marca","entity_id":"logo_marca_9","start_s":330.0,"end_s":335.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'Pierre Cadault' on garment bag"}
{"family":"monumento","entity_id":"monumento_2","start_s":335.0,"end_s":336.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Pantheon building with French flag"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":336.0,"end_s":340.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":336.0,"end_s":340.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":340.0,"end_s":345.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
